                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.8382,                 2.2306,                0.98924,                0.98823,                0.65811,                 0.6375,                0.62058,                0.30117,                 0.4985,                 0.5625,                0.47472,                 0.1675,                 1.8787,                 2.5606,                 1.1125,                 1.1521,               0.004753,               0.004753,               0.004753
                     55,                 1.6364,                 2.0937,                0.93107,                 1.0049,                0.65811,                 0.6375,                0.62058,                0.30117,                 0.4985,                 0.5625,                0.47472,                 0.1675,                 1.8787,                 2.5606,                 1.1125,                 1.1521,               0.004654,               0.004654,               0.004654
                     56,                 2.0707,                 3.0576,                 1.4009,                 1.0471,                0.56153,                   0.65,                0.57489,                0.24075,                0.37552,                0.49613,                0.40345,                0.14064,                 2.0678,                 3.1478,                  1.178,                 1.1921,               0.004555,               0.004555,               0.004555
                     57,                 1.7921,                 2.6991,                 1.8413,                 1.0388,                0.56153,                   0.65,                0.57489,                0.24075,                0.37552,                0.49613,                0.40345,                0.14064,                 2.0678,                 3.1478,                  1.178,                 1.1921,               0.004456,               0.004456,               0.004456
                     58,                 1.6827,                 2.5017,                0.95791,                0.97808,                0.56153,                   0.65,                0.57489,                0.24075,                0.37552,                0.49613,                0.40345,                0.14064,                 2.0678,                 3.1478,                  1.178,                 1.1921,               0.004357,               0.004357,               0.004357
                     59,                  1.622,                 1.9819,                 1.0596,                 0.9859,                0.62849,                    0.6,                0.60419,                0.32197,                0.56003,                 0.4125,                0.46494,                0.19712,                 1.7296,                 2.3946,                 1.0692,                 1.1104,               0.004258,               0.004258,               0.004258
                     60,                 1.5334,                 2.0027,                0.92427,                0.95203,                0.62849,                    0.6,                0.60419,                0.32197,                0.56003,                 0.4125,                0.46494,                0.19712,                 1.7296,                 2.3946,                 1.0692,                 1.1104,               0.004159,               0.004159,               0.004159
                     61,                 1.5575,                 2.0713,                0.93334,                0.96979,                0.62849,                    0.6,                0.60419,                0.32197,                0.56003,                 0.4125,                0.46494,                0.19712,                 1.7296,                 2.3946,                 1.0692,                 1.1104,                0.00406,                0.00406,                0.00406
                     62,                  1.631,                 2.0744,                 1.7703,                0.99141,                 0.6407,                 0.6375,                0.60584,                0.32282,                0.65318,                 0.5375,                0.55222,                0.25906,                 1.6248,                  2.359,                 1.0465,                 1.0616,               0.003961,               0.003961,               0.003961
                     63,                 1.7711,                 2.4828,                 1.0041,                0.99048,                 0.6407,                 0.6375,                0.60584,                0.32282,                0.65318,                 0.5375,                0.55222,                0.25906,                 1.6248,                  2.359,                 1.0465,                 1.0616,               0.003862,               0.003862,               0.003862
                     64,                 1.7622,                 2.1529,                0.93888,                0.98491,                 0.6021,                   0.65,                0.58557,                0.30956,                0.49534,                 0.5375,                0.46845,                0.20926,                 1.6645,                 2.3752,                 1.0495,                 1.0675,               0.003763,               0.003763,               0.003763
                     65,                  1.732,                 2.2945,                 1.0029,                0.95935,                 0.6021,                   0.65,                0.58557,                0.30956,                0.49534,                 0.5375,                0.46845,                0.20926,                 1.6645,                 2.3752,                 1.0495,                 1.0675,               0.003664,               0.003664,               0.003664
                     66,                 1.6014,                 2.0965,                0.94809,                0.97127,                 0.6021,                   0.65,                0.58557,                0.30956,                0.49534,                 0.5375,                0.46845,                0.20926,                 1.6645,                 2.3752,                 1.0495,                 1.0675,               0.003565,               0.003565,               0.003565
                     67,                 1.3736,                 1.7437,                 1.8332,                0.82348,                0.56574,                 0.5875,                0.52029,                0.21335,                 0.4824,                0.50097,                0.45687,                0.16963,                 2.1647,                  2.609,                 1.1905,                 1.2893,               0.003466,               0.003466,               0.003466
                     68,                 1.6004,                 2.2391,                0.96912,                0.99576,                0.56574,                 0.5875,                0.52029,                0.21335,                 0.4824,                0.50097,                0.45687,                0.16963,                 2.1647,                  2.609,                 1.1905,                 1.2893,               0.003367,               0.003367,               0.003367
                     69,                 1.6055,                  2.266,                0.86747,                0.94702,                0.56574,                 0.5875,                0.52029,                0.21335,                 0.4824,                0.50097,                0.45687,                0.16963,                 2.1647,                  2.609,                 1.1905,                 1.2893,               0.003268,               0.003268,               0.003268
                     70,                 1.6391,                 2.0472,                0.90856,                0.94326,                0.59242,                  0.525,                0.52615,                  0.217,                0.51472,                    0.5,                0.48613,                0.17564,                 2.1517,                 2.6363,                 1.2196,                 1.3063,               0.003169,               0.003169,               0.003169
                     71,                 1.5697,                 2.0428,                0.87862,                0.95505,                0.59242,                  0.525,                0.52615,                  0.217,                0.51472,                    0.5,                0.48613,                0.17564,                 2.1517,                 2.6363,                 1.2196,                 1.3063,                0.00307,                0.00307,                0.00307
